PartNumber,PartName,Description,DamageCategory,risk_level,replacement_interval,boeing_targets,bombardier_targets,mro_targets,geo_targets
90000583-6PR,BRAKE UNIT,"Part Number: 90000583-6PRDescription: CARBON BRAKES ASSY, MLG CAR",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
CG1151AC03,CONTROL DISPLAY UNIT,"Part Number: CG1151AC03Description: CDU-CONTROL DISPLAY UNIT",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
144-186-000-011,VIBRATION SENSOR,"Part Number: 144-186-000-011Description: SENSOR VIBRATION BEARING",engines,Extreme,On-condition (ultrasound every 500 cycles),"Southwest, Ryanair, American Airlines, Emirates, Qatar Airways","SkyWest, Republic Airways, Jazz Aviation, NetJets","StandardAero, AAR Corp, Honeywell Aerospace, Rolls-Royce Services",High-cycle operations + harsh environments
60-755100-5,FUEL BOOSTER PUMP,"Part Number: 60-755100-5Description: MOTOR IMPELLER SUBASSY, FUEL BOOST PUMP",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
174101-02-01,CONTROL DISPLAY UNIT,"Part Number: 174101-02-01Description: MCDU-MULTIPURPOSE CONTROL AND DISPLAY UNIT",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
S1819502-02,ELT TRANMITTER,"Part Number: S1819502-02Description: ELT-EMERGENCY LOCATOR TRANSMITTER",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
622-5132-633,RADAR TRANSCEIVER,"Part Number: 622-5132-633Description: WEATHER RADAR TX/RX",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
601C1201-011,FIRE BLANKET UPPER C,"Part Number: 601C1201-011Description: FIRE BLANKET-UPR CORE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
176200-01-01,FLIGHT MANAGEMENT COMPUTER,"Part Number: 176200-01-01Description: FMC - FLIGHT MANAGEMENT COMPUTER",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
30211-0102,TRANSIENT SUPPRESION,"Part Number: 30211-0102Description: TRANSIENT SUPPRESION DEVICE",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
HG2050AC07,UNIT ASSY – AIR DATA INERTIAL,"Part Number: HG2050AC07Description: AIR DATA INERTIAL REFERENCE UNIT",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
9000408-22,TRANSMITTER,"Part Number: 9000408-22Description: FLAP POSITION TRANSMITTER",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
822-1604-101,FLIGHT CONTROL COMPUTER,"Part Number: 822-1604-101Description: COLLINS FLIGHT CONTROL COMPUTER",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
327000-102M01,FTU-RUDDER PEDAL,"Part Number: 327000-102M01Description: UNIT, RUDDER PEDAL FORCE TRANSFER",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
8TJ163AAB1,SPEED SENSOR,"Part Number: 8TJ163AAB1Description: ENGINE N1 SPEED SENSOR",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
14330-004C1,TOILET ASSY,"Part Number: 14330-004C1Description: FLUSHING TOILET ASSE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
9701-14-0000,LIGHT ASSY LED OVER,"Part Number: 9701-14-0000Description: OVER WING EXIT LIGHT ASSEMBLY",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
D2727000700600,SPRING ROD,"Part Number: D2727000700600Description: ROD, YAW DAMPER SPRING",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
80-003-06,"SENSOR, ELECT MODULE PROX","Part Number: 80-003-06Description: PROXIMITY SENSOR ELECTRONIC MODULE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
8TC19AAR1,SENSOR-TEMP CPRSR DISCH,"Part Number: 8TC19AAR1Description: SENSOR, TEMPERATURE COMPRESSOR DISCHARGE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
31077-111,SPOILER ACTUATOR,"Part Number: 31077-111Description: SERVOCONTROL-SPOILER,INBOARD",flight_controls,Extreme,"5,000hrs (leak > 3 drops/hr)","All 737 operators (Southwest, Ryanair, American), All 777/787 operators","All CRJ operators (SkyWest, Republic), All Bombardier business jets","Safran Landing Systems, Lufthansa Technik, Collins Aerospace",Safety-critical universal demand + harsh environments
CA75810-0001,DOOR LOCK ACTUATOR,"Part Number: CA75810-0001Description: CYLINDER, RAMP LOCK",flight_controls,Extreme,"5,000hrs (leak > 3 drops/hr)","All 737 operators (Southwest, Ryanair, American), All 777/787 operators","All CRJ operators (SkyWest, Republic), All Bombardier business jets","Safran Landing Systems, Lufthansa Technik, Collins Aerospace",Safety-critical universal demand + harsh environments
251A4510-10,ACTUATOR STAB TRIM,"Part Number: 251A4510-10Description: ACTUATOR - TRIMMABLE HORIZONTAL STABILIZER (THSA)",flight_controls,Extreme,"5,000hrs (leak > 3 drops/hr)","All 737 operators (Southwest, Ryanair, American), All 777/787 operators","All CRJ operators (SkyWest, Republic), All Bombardier business jets","Safran Landing Systems, Lufthansa Technik, Collins Aerospace",Safety-critical universal demand + harsh environments
740-5265-505,TUBE ASSY,"Part Number: 740-5265-505Description: TUBE ASSY DRAIN ACOC ACTUATOR",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
AHA2424,BRAKE UNIT,"Part Number: AHA2424Description: CARBON BRAKE ASSEMBLY",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
C5120-3,STARTER ELEC,"Part Number: C5120-3Description: MOTOR STARTER",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
48114-1135,COOLER-OIL,"Part Number: 48114-1135Description: IDG AIR COOLED OIL COOLER",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
D23581100-5,LEG ASSY-NLG,"Part Number: D23581100-5Description: LEG ASSY-NLG",landing_gear,Extreme,200-300 landings (or tread depth < 2mm),"Southwest, Ryanair, American Airlines, Delta, United","SkyWest, Republic Airways, Jazz Aviation, Endeavor Air","Timco, ST Aerospace, Haeco Americas, AAR Corp","High-frequency routes (US domestic, Europe-Middle East)"
1019439-2-001,PANEL PRESSURE SELECTOR,"Part Number: 1019439-2-001Description: PANEL, PRESSURE SELECTOR",interior_components,Low,On-condition,"Low-cost carriers, High-density operators, Charter airlines","Regional airlines, Business aviation interiors","Timco, ST Aerospace, Interior specialists, MRO facilities",High-passenger-turnover routes + wear-intensive operations
2A2917,SEAL,"Part Number: 2A2917Description: SEAL ASSY,#1 BEARING",engines,Extreme,On-condition (ultrasound every 500 cycles),"Southwest, Ryanair, American Airlines, Emirates, Qatar Airways","SkyWest, Republic Airways, Jazz Aviation, NetJets","StandardAero, AAR Corp, Honeywell Aerospace, Rolls-Royce Services",High-cycle operations + harsh environments
1324M12P10,VSV ACTUATOR,"Part Number: 1324M12P10Description: ACTUATOR-VARIABLE STATOR",flight_controls,Extreme,"5,000hrs (leak > 3 drops/hr)","All 737 operators (Southwest, Ryanair, American), All 777/787 operators","All CRJ operators (SkyWest, Republic), All Bombardier business jets","Safran Landing Systems, Lufthansa Technik, Collins Aerospace",Safety-critical universal demand + harsh environments
194792-4,PRECOOLER,"Part Number: 194792-4Description: BLEED-AIR PRECOOLER",pneumatic_systems,High,"6,000hrs (vibration monitoring)","High-altitude operators, Environmental control critical","Regional operators, Pressurization-dependent routes","Lufthansa Technik, Heavy maintenance specialists",High-altitude routes + extreme temperature operations
21435-00,BEACON LOCATOR-UNDERWATER,"Part Number: 21435-00Description: BEACON-ACOUSTIC UNDERWATER LOCATOR",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
1152464-265,START POWER UNIT,"Part Number: 1152464-265Description: APU START POWER UNIT",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
50S055-001,"SHROUD SET, C-5 HPC","Part Number: 50S055-001Description: HPC 5TH STG SHROUD",engines,Extreme,On-condition (ultrasound every 500 cycles),"Southwest, Ryanair, American Airlines, Emirates, Qatar Airways","SkyWest, Republic Airways, Jazz Aviation, NetJets","StandardAero, AAR Corp, Honeywell Aerospace, Rolls-Royce Services",High-cycle operations + harsh environments
2LA005303-05,LIGHT STROBE TAIL,"Part Number: 2LA005303-05Description: LIGHT UNIT-STROBE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
9011440500-1,DAMPENER-HYDRAULIC,"Part Number: 9011440500-1Description: SUPPORT-DAMPNER, HYDRAULIC",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
338-118-602-0,MANIFOLD-AIR,"Part Number: 338-118-602-0Description: LPTACC MANIFOLD DUCT, TUBE",hydraulic_systems,High,"5,000hrs (efficiency < 80%)","Heavy operators (FedEx, UPS), High-utilization 737s",Regional high-frequency operators,"AAR Corp, StandardAero, Component repair specialists",High-cycle operations + temperature extremes
21230-03AC,OUTFLOW VALVE,"Part Number: 21230-03ACDescription: VALVE ASSY-OUTFLOW",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
7514081-903,TCAS DIRECTIONAL ANTENNA,"Part Number: 7514081-903Description: NTENNAS,TCAS-RADIO/NAVIGATION SYS",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
3552AAADAACXCD,OXYGEN UNIT- PORTABL,"Part Number: 3552AAADAACXCDDescription: PORTABLE OXYGEN CYLINDER ASSY",flight_controls,Extreme,"5,000hrs (leak > 3 drops/hr)","All 737 operators (Southwest, Ryanair, American), All 777/787 operators","All CRJ operators (SkyWest, Republic), All Bombardier business jets","Safran Landing Systems, Lufthansa Technik, Collins Aerospace",Safety-critical universal demand + harsh environments
2042M67P04,ELECTRONIC CONTROL UNIT,"Part Number: 2042M67P04Description: CONTROL-ELECTRONIC ENGINE (FADEC)",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
30030-000,THERMOCOUPLE,"Part Number: 30030-000Description: THERMOCOUPLE PROBE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
D5211200300000,PASSENGER DOOR FRONT LH,"Part Number: D5211200300000Description: PASSENGER DOOR FRONT LH",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
2313M-348-4,MOTOR ASSY – CONVERTER,"Part Number: 2313M-348-4Description: MOTOR/CONVERTER ASSY - WINDSHIELD WIPER (R/H)",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
337-108-520-0,AIR OIL SEPARATOR,"Part Number: 337-108-520-0Description: SEPARATOR, AIR OIL",hydraulic_systems,High,"5,000hrs (efficiency < 80%)","Heavy operators (FedEx, UPS), High-utilization 737s",Regional high-frequency operators,"AAR Corp, StandardAero, Component repair specialists",High-cycle operations + temperature extremes
9972M46G05,NUT LOCKING NO.3 BRG,"Part Number: 9972M46G05Description: NUT LOCKING NO 3 BEARING",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
3210-005MB-001,TRASH COMPACTOR,"Part Number: 3210-005MB-001Description: INFLIGHT TRASH COMPACTOR",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
20P78-6,VALVE,"Part Number: 20P78-6Description: VALVE, TURBINE COOLING AIR",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
3810056-108,VALVE THRUST REVERSE,"Part Number: 3810056-108Description: VALVE MODULE CONTROL, THRUST REVERSER",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
LM321SA19V,ISOLATOR VIBRATION,"Part Number: LM321SA19VDescription: AFT ISOLATOR ASSEMBLY",hydraulic_systems,High,"5,000hrs (efficiency < 80%)","Heavy operators (FedEx, UPS), High-utilization 737s",Regional high-frequency operators,"AAR Corp, StandardAero, Component repair specialists",High-cycle operations + temperature extremes
106-1-1100-02,"ACTUATOR, APU","Part Number: 106-1-1100-02Description: ACTUATOR, APU AIR INTAKE",flight_controls,Extreme,"5,000hrs (leak > 3 drops/hr)","All 737 operators (Southwest, Ryanair, American), All 777/787 operators","All CRJ operators (SkyWest, Republic), All Bombardier business jets","Safran Landing Systems, Lufthansa Technik, Collins Aerospace",Safety-critical universal demand + harsh environments
17343-116-825F,SWITCH,"Part Number: 17343-116-825FDescription: THERMAL SWITCH",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
4298117,"LIGHT,LANDING","Part Number: 4298117Description: LIGHT-TAKE OFF AND TAXI",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
6137-5,ACTUATOR RUDDER TRIM,"Part Number: 6137-5Description: ACTUATOR-RUDDER TRIM",flight_controls,Extreme,"5,000hrs (leak > 3 drops/hr)","All 737 operators (Southwest, Ryanair, American), All 777/787 operators","All CRJ operators (SkyWest, Republic), All Bombardier business jets","Safran Landing Systems, Lufthansa Technik, Collins Aerospace",Safety-critical universal demand + harsh environments
55D680,VANE ASSEMBLY,"Part Number: 55D680Description: FAN EXIT-GUIDE VANE",engines,Extreme,On-condition (ultrasound every 500 cycles),"Southwest, Ryanair, American Airlines, Emirates, Qatar Airways","SkyWest, Republic Airways, Jazz Aviation, NetJets","StandardAero, AAR Corp, Honeywell Aerospace, Rolls-Royce Services",High-cycle operations + harsh environments
201590900,RETRACT ACT PIN,"Part Number: 201590900Description: RETRACT ACTUATOR PIN",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
VD3900-03,RECIRCULATION FAN,"Part Number: VD3900-03Description: FAN RECIRCULATION",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
3289562-5,CONTROL VALVE PRE-COOLER,"Part Number: 3289562-5Description: VALVE ASSY, PRE COOLER CFM56-7",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
21933-01AC,PRESSURE CONTROLLER,"Part Number: 21933-01ACDescription: CONTROLLER, CABIN PRESSURE",pneumatic_systems,High,"6,000hrs (vibration monitoring)","High-altitude operators, Environmental control critical","Regional operators, Pressurization-dependent routes","Lufthansa Technik, Heavy maintenance specialists",High-altitude routes + extreme temperature operations
320-401-201-0,HARNESS,"Part Number: 320-401-201-0Description: HARNESS-WIRING CJ13",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
101-410068-5,RADOME ASSY,"Part Number: 101-410068-5Description: CONE ASSY NOSE",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
315A2800-2,ACTUATOR,"Part Number: 315A2800-2Description: ACTUATOR ASSY-NON-LOCKING",flight_controls,Extreme,"5,000hrs (leak > 3 drops/hr)","All 737 operators (Southwest, Ryanair, American), All 777/787 operators","All CRJ operators (SkyWest, Republic), All Bombardier business jets","Safran Landing Systems, Lufthansa Technik, Collins Aerospace",Safety-critical universal demand + harsh environments
7510300-901,ADF ANTENNA,"Part Number: 7510300-901Description: ASSY, ADF ANTENNA AT-860",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
141W6105-22,HINGE ASSY,"Part Number: 141W6105-22Description: HINGE ASSY",flight_controls,Extreme,"5,000hrs (leak > 3 drops/hr)","All 737 operators (Southwest, Ryanair, American), All 777/787 operators","All CRJ operators (SkyWest, Republic), All Bombardier business jets","Safran Landing Systems, Lufthansa Technik, Collins Aerospace",Safety-critical universal demand + harsh environments
AC69924,BLEED VALVE,"Part Number: AC69924Description: VALVE, BLEED STG 7, HP COMPRESSOR",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
1001246-3,"VALVE, HIGH STAGE BLEED","Part Number: 1001246-3Description: BLEED PRESSURE REGULATING AND SHUT",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
161A1142-301,LINK ASSY-TORSION LWR,"Part Number: 161A1142-301Description: LINK ASSY-TORSION LWR",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
7B0358,GEARSFTY,"Part Number: 7B0358Description: ANGLE DRIVE BEVEL GEARSHAFT",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
8TC34ABY1,"PROBE, THERMOCOUPLE","Part Number: 8TC34ABY1Description: PROBE, THERMOCOUPLE TEMP",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
87006-9,STATOR,"Part Number: 87006-9Description: STATOR ALTERNATOR",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
568-1-27202-05R,FUEL PUMP,"Part Number: 568-1-27202-05RDescription: FUEL PUMP",engines,Extreme,"2,000hrs (flow checks every 500hrs)","Southwest, Ryanair, American Airlines, Emirates, Qatar Airways","SkyWest, Republic Airways, Jazz Aviation, NetJets","StandardAero, AAR Corp, Honeywell Aerospace, Rolls-Royce Services",High-cycle operations + harsh environments
745-2010-503,FRONT ENGINE MOUNT,"Part Number: 745-2010-503Description: FORWARD MOUNT, ENGINE",engines,Extreme,On-condition (ultrasound every 500 cycles),"Southwest, Ryanair, American Airlines, Emirates, Qatar Airways","SkyWest, Republic Airways, Jazz Aviation, NetJets","StandardAero, AAR Corp, Honeywell Aerospace, Rolls-Royce Services",High-cycle operations + harsh environments
1012191-1,SWITCH PRESSURE,"Part Number: 1012191-1Description: ENGINE HIGH PRESS SWITCH",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
103008-103,SLIDE,"Part Number: 103008-103Description: ESCAPE SLIDE RAFT",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
141W4835-7,WINDOW AY,"Part Number: 141W4835-7Description: WINDOW AY",interior_components,Low,7 years (haze > 30%),"Low-cost carriers, High-density operators, Charter airlines","Regional airlines, Business aviation interiors","Timco, ST Aerospace, Interior specialists, MRO facilities",High-passenger-turnover routes + wear-intensive operations
100-604014-100,EDU,"Part Number: 100-604014-100Description: EDU, MONITOR",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
831A0000-02,"BRAKE, WING TIP","Part Number: 831A0000-02Description: BRAKE-WING TIP (NP)",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
6F4016-12,VALVE,"Part Number: 6F4016-12Description: DRAIN VALVE",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
65-46288-12,"LINK, TORSION","Part Number: 65-46288-12Description: TORSION LINK AY UPPER",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
3214-31,BATTERY PACK,"Part Number: 3214-31Description: BATTERY, EMERGENCY POWER SUPPLY",electrical_systems,High,2 years (or capacity < 80%),"All operators (safety critical), Aging fleet operators",Regional + business aviation electrical needs,"AAR Corp, StandardAero, Electrical component specialists",Harsh electrical environments + older aircraft
S5431301100100,COWL ASSY,"Part Number: S5431301100100Description: COWL ASSY",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
1460M52P03,POSITION BALL NO 3,"Part Number: 1460M52P03Description: BEARING BALL THRUST NO.3",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
822-0334-003,TRANSCEIVER,"Part Number: 822-0334-003Description: TRANSCEIVER-RADIO ALTIMETER",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
822-2764-050,TRANSCEIVER,"Part Number: 822-2764-050Description: HFS TRANSCEIVER HFS-2200",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
G4000VSVA01,ACTUATOR STATOR,"Part Number: G4000VSVA01Description: ACTUATOR, STATOR VANE",flight_controls,Extreme,"5,000hrs (leak > 3 drops/hr)","All 737 operators (Southwest, Ryanair, American), All 777/787 operators","All CRJ operators (SkyWest, Republic), All Bombardier business jets","Safran Landing Systems, Lufthansa Technik, Collins Aerospace",Safety-critical universal demand + harsh environments
337-005-118-0,CONE,"Part Number: 337-005-118-0Description: SPINNER CONE FRONT",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
032210-00,HARNESS,"Part Number: 032210-00Description: HARNESS ELECTRICAL ASSY CREW SEAT",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
0006648-801,CONTROL BOX,"Part Number: 0006648-801Description: CONTROL BOX, CARGO COMPARTMENT",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
P99C38-605,PUMP FUEL MAIN,"Part Number: P99C38-605Description: FUEL MAIN BOOST PUMP",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
029-658-0,NOSE TIRE,"Part Number: 029-658-0Description: TIRE 26x6.6/12PLY/225MPH ,MICHELIN",landing_gear,Extreme,200-300 landings (or tread depth < 2mm),"Southwest, Ryanair, American Airlines, Delta, United","SkyWest, Republic Airways, Jazz Aviation, Endeavor Air","Timco, ST Aerospace, Haeco Americas, AAR Corp","High-frequency routes (US domestic, Europe-Middle East)"
039-853-0,MAIN TIRE,"Part Number: 039-853-0Description: MICHELIN MAIN TIRE H44.5X16.5-20/28/225",landing_gear,Extreme,200-300 landings (or tread depth < 2mm),"Southwest, Ryanair, American Airlines, Delta, United","SkyWest, Republic Airways, Jazz Aviation, Endeavor Air","Timco, ST Aerospace, Haeco Americas, AAR Corp","High-frequency routes (US domestic, Europe-Middle East)"
020-791-0,MAIN TIRE,"Part Number: 020-791-0Description: TIRE: 49X17-32PLY,TL,235MPH, MICHELIN",landing_gear,Extreme,200-300 landings (or tread depth < 2mm),"Southwest, Ryanair, American Airlines, Delta, United","SkyWest, Republic Airways, Jazz Aviation, Endeavor Air","Timco, ST Aerospace, Haeco Americas, AAR Corp","High-frequency routes (US domestic, Europe-Middle East)"
039-769-2,TIRE NLG A300,"Part Number: 039-769-2Description: TIRE: 40X14-24PLY,TL,225MPH",landing_gear,Extreme,200-300 landings (or tread depth < 2mm),"Southwest, Ryanair, American Airlines, Delta, United","SkyWest, Republic Airways, Jazz Aviation, Endeavor Air","Timco, ST Aerospace, Haeco Americas, AAR Corp","High-frequency routes (US domestic, Europe-Middle East)"
040-800-1,MAIN TIRE ASSY,"Part Number: 040-800-1Description: TIRE: H40X145-19PLY",landing_gear,Extreme,200-300 landings (or tread depth < 2mm),"Southwest, Ryanair, American Airlines, Delta, United","SkyWest, Republic Airways, Jazz Aviation, Endeavor Air","Timco, ST Aerospace, Haeco Americas, AAR Corp","High-frequency routes (US domestic, Europe-Middle East)"
34-110589-1,BUSHING,"Part Number: 34-110589-1Description: BUSHING TEFLON",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
34-110589-2,BUSHING,"Part Number: 34-110589-2Description: BUSHING TEFLON",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
150710-11C05,HOUSSE,"Part Number: 150710-11C05Description: HOUSSE B.DOS CUDA23-45",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
45-150-340,AOA SENSOR,"Part Number: 45-150-340Description: SENSOR, ANGLE OF ATTACK",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
